Atribuida,disciplina
CEAGRI_I::10,"Segunda-feira, 16:00 a 18:00
Quarta-feira, 14:00 a 16:00,06226 - ENGENHARIA DE SOFTWARE

Terça-feira, 16:00 a 18:00
Quinta-feira, 14:00 a 16:00,14064 - ARQUITETURA E ORGANIZAÇÃO DE COMPUTADORES

Terça-feira, 20:10 a 21:50
Quinta-feira, 18:30 a 20:10,14078 - ENGENHARIA DE REQUISITOS

Segunda-feira, 18:30 a 20:10
Quinta-feira, 20:10 a 21:50,14084 - PROGRAMAÇÃO II

Segunda-feira, 14:00 a 16:00
Quinta-feira, 16:00 a 18:00,14118 - INTRODUÇÃO À PROGRAMAÇÃO II

Quarta-feira, 16:00 a 18:00
Sexta-feira, 14:00 a 16:00,06209 - INTRODUÇÃO À COMPUTAÇÃO

Sexta-feira, 18:30 a 21:50,14076 - SEGURANÇA DA INFORMAÇÃO

Segunda-feira, 20:10 a 21:50
Quarta-feira, 18:30 a 20:10,14318 - MINERAÇÃO DE TEXTO

Sexta-feira, 08:00 a 12:00,14328 - INOVAÇÃO EM TIC

Quinta-feira, 08:00 a 12:00,14709 - PRINCÍPIOS DE PROGRAMAÇÃO"
CEAGRI_I::15,"Segunda-feira, 18:30 a 20:10
Quinta-feira, 20:10 a 21:50,06281 - EDUCAÇÃO À DISTÂNCIA

Sexta-feira, 18:30 a 21:50,14125 - DESENVOLVIMENTO DE APLICAÇÕES PARA WEB

Segunda-feira, 20:10 a 21:50
Quarta-feira, 18:30 a 20:10,28011 - PROJETO DE DESENVOLVIMENTO DE SOFTWARE EDUCACIONAL

Terça-feira, 20:10 a 21:50
Quinta-feira, 18:30 a 20:10,14065 - SISTEMAS OPERACIONAIS

Segunda-feira, 14:00 a 16:00
Quinta-feira, 16:00 a 18:00,14117 - INTRODUÇÃO À PROGRAMAÇÃO I

Quarta-feira, 15:00 a 16:00
Sexta-feira, 13:00 a 16:00,06209 - INTRODUÇÃO À COMPUTAÇÃO

Quarta-feira, 08:00 a 12:00,14342 - PROJETO INTERDISCIPLINAR PARA SISTEMAS DE INFORMAÇÃO III

Quinta-feira, 08:00 a 12:00,14343 - FUNDAMENTOS DE PROBLEMAS COMPUTACIONAIS II

Terça-feira, 08:00 a 12:00,14344 - PRINCÍPIOS DE SOFTWARE BÁSICO"
JVS::01,"Quarta-feira, 10:00 a 12:00
Sexta-feira, 08:00 a 10:00,05258 - METODOLOGIA DO ESTUDO CIENTÍFICO

Quarta-feira, 18:30 a 20:10
Sexta-feira, 20:10 a 21:50,06243 - ESTATÍSTICA EXPLORATÓRIA I

Segunda-feira, 10:00 a 12:00,09344 - SEGURANÇA DO TRABALHO EM GASTRONOMIA

Segunda-feira, 08:00 a 10:00,04788 - HISTÓRIA DA ALIMENTAÇÃO

Segunda-feira, 15:00 a 18:00
Quarta-feira, 17:00 a 18:00,04312 - FRANCÊS INSTRUMENTAL

Terça-feira, 10:00 a 12:00
Sexta-feira, 10:00 a 12:00,07221 - BIOQUÍMICA DOS ALIMENTOS

Segunda-feira, 13:00 a 15:00
Sexta-feira, 15:00 a 17:00,07223 - QUÍMICA CULINÁRIA

Quinta-feira, 08:00 a 12:00,11100 - MICROBIOLOGIA DOS ALIMENTOS A

Terça-feira, 17:00 a 18:00
Quinta-feira, 15:00 a 18:00,11118 - HIGIENE E SEGURANÇA NA PRODUÇÃO DE ALIMENTOS

Sexta-feira, 13:00 a 15:00,11119 - ORGANIZAÇÃO DE EVENTOS GASTRONÔMICOS

Terça-feira, 13:00 a 17:00,11120 - HABILIDADES E TÉCNICAS CULINÁRIAS I

Quarta-feira, 13:00 a 17:00,11121 - COZINHA FRIA

Quinta-feira, 13:00 a 15:00,11138 - PLANEJAMENTO DE CARDÁPIOS

Terça-feira, 07:00 a 10:00,11150 - PLANEJAMENTO FÍSICO E ORGANIZACIONAL DOS SERVIÇOS DE ALIMENTAÇÃO"
JVS::02,"Sexta-feira, 08:00 a 12:00,04109 - INTRODUÇÃO À ADMINISTRAÇÃO

Terça-feira, 14:00 a 16:00
Sexta-feira, 16:00 a 18:00,14044 - INTRODUÇÃO À CIÊNCIA DA COMPUTAÇÃO

Quarta-feira, 16:00 a 18:00
Sexta-feira, 14:00 a 16:00,14203 - MATEMÁTICA DISCRETA I

Terça-feira, 18:30 a 20:10
Sexta-feira, 20:10 a 21:50,06214 - ALGORITMOS E ESTRUTURAS DE DADOS

Quarta-feira, 20:10 a 21:50
Sexta-feira, 18:30 a 20:10,14203 - MATEMÁTICA DISCRETA I

Quarta-feira, 08:00 a 12:00,14350 - PROJETO DE DESENVOLVIMENTO TECNOLÓGICO PARA O MUNDO II

Segunda-feira, 08:00 a 12:00,14353 - ESTATÍSTICA APLICADA A ANÁLISE DE DADOS

Terça-feira, 08:00 a 12:00,14708 - FUNDAMENTOS MATEMÁTICOS PARA SISTEMA DE INFORMAÇÃO I

Terça-feira, 16:00 a 18:00
Quinta-feira, 14:00 a 16:00,06418 - ÁLGEBRA VETORIAL E LINEAR PARA COMPUTAÇÃO

Segunda-feira, 16:00 a 18:00
Quarta-feira, 14:00 a 16:00,06507 - CÁLCULO NI

Segunda-feira, 20:10 a 21:50
Quarta-feira, 18:30 a 20:10,06507 - CÁLCULO NI"
JVS::03,"Terça-feira, 18:30 a 21:50,04231 - GESTÃO DO CONHECIMENTO

Terça-feira, 16:00 a 18:00
Quinta-feira, 14:00 a 16:00,14043 - COMPUTADORES E SOCIEDADE

Terça-feira, 14:00 a 16:00
Sexta-feira, 16:00 a 18:00,14087 - PROJETO E ANÁLISE DE ALGORITMOS

Quarta-feira, 16:00 a 18:00
Sexta-feira, 14:00 a 16:00,14090 - COMPILADORES

Segunda-feira, 14:00 a 16:00
Quinta-feira, 16:00 a 18:00,14118 - INTRODUÇÃO À PROGRAMAÇÃO II

Quarta-feira, 20:10 a 21:50
Sexta-feira, 18:30 a 20:10,14203 - MATEMÁTICA DISCRETA I

Sexta-feira, 08:00 a 12:00,14024 - TÓPICOS AVANÇADOS EM INTELIGÊNCIA ARTIFICIAL

Segunda-feira, 08:00 a 12:00,14705 - FUNDAMENTOS DE CRIPTOGRAFIA

Quarta-feira, 08:00 a 12:00,11156 - COZINHA TÍPICA DE PERNAMBUCO"
JVS::08,"Terça-feira, 07:00 a 10:00
Quinta-feira, 09:00 a 10:00,02631 - ZOOLOGIA GERAL

Terça-feira, 13:00 a 15:00
Quinta-feira, 13:00 a 15:00,02106 - FISIOLOGIA VEGETAL

Quarta-feira, 07:00 a 10:00
Sexta-feira, 09:00 a 10:00,02156 - MORFOLOGIA DE FANERÓGAMAS

Terça-feira, 18:30 a 20:10,28001 - PRODUÇÃO DE MATERIAL DIDÁTICO PARA MÍDIAS ELETRÔNICAS

Terça-feira, 16:00 a 18:00,28001 - PRODUÇÃO DE MATERIAL DIDÁTICO PARA MÍDIAS ELETRÔNICAS

Segunda-feira, 10:00 a 12:00,13115 - INTRODUÇÃO À ENGENHARIA FLORESTAL

Sexta-feira, 13:00 a 16:00,13307 - METODOLOGIA DO TRAB. CIENT. PARA ENGENHARIA FLORESTAL

Segunda-feira, 07:00 a 10:00,04461 - FUNDAMENTOS DE SOCIOLOGIA RURAL

Segunda-feira, 15:00 a 16:00
Quarta-feira, 16:00 a 18:00,01375 - GEOLOGIA APLICADA À PEDOLOGIA

Terça-feira, 15:00 a 16:00
Quinta-feira, 15:00 a 18:00,10300 - FUNDAMENTOS DA QUÍMICA ORGÂNICA"
JVS::09,"Terça-feira, 07:00 a 10:00
Quinta-feira, 09:00 a 10:00,02104 - BOTÂNICA SISTEMÁTICA

Terça-feira, 16:00 a 18:00
Quinta-feira, 13:00 a 15:00,02319 - GENÉTICA GERAL

Segunda-feira, 10:00 a 12:00,13116 - LEGISLAÇÃO FLORESTAL E AMBIENTAL

Segunda-feira, 13:00 a 15:00
Terça-feira, 13:00 a 16:00,13117 - DENDROLOGIA S

Segunda-feira, 15:00 a 18:00,13118 - POLÍTICA FLORESTAL

Quinta-feira, 15:00 a 18:00,13119 - ANATOMIA E IDENTIFICAÇÃO DA MADEIRA

Sexta-feira, 15:00 a 18:00,13213 - FUNDAMENTOS DE ECOLOGIA FLORESTAL

Segunda-feira, 18:30 a 20:10
Quinta-feira, 20:10 a 21:50,05317 - PSICOLOGIA I

Sexta-feira, 07:00 a 10:00,06276 - ESTATÍSTICA BÁSICA A

Segunda-feira, 07:00 a 09:00
Quinta-feira, 10:00 a 12:00,01324 - FUNDAMENTOS DA CIÊNCIA DO SOLO

Quarta-feira, 16:00 a 18:00
Sexta-feira, 13:00 a 15:00,01385 - FERTILIDADE DO SOLO

Quarta-feira, 13:00 a 16:00,10135 - QUÍMICA DA MADEIRA"
JVS::10,"Quarta-feira, 07:00 a 09:00,13120 - AGROSSILVICULTURA

Terça-feira, 10:00 a 12:00
Quinta-feira, 07:00 a 09:00,13121 - TECNOLOGIA DA MADEIRA

Segunda-feira, 16:00 a 18:00
Quinta-feira, 13:00 a 15:00,13122 - PATOLOGIA FLORESTAL A

Terça-feira, 15:00 a 18:00,13123 - SEMENTES FLORESTAIS

Segunda-feira, 09:00 a 10:00
Quarta-feira, 09:00 a 12:00,13212 - ECOLOGIA FLORESTAL A

Terça-feira, 07:00 a 10:00
Quinta-feira, 09:00 a 10:00,13214 - ENTOMOLOGIA FLORESTAL A

Segunda-feira, 10:00 a 12:00
Sexta-feira, 07:00 a 09:00,13215 - MICROBIOLOGIA FLORESTAL

Quarta-feira, 13:00 a 15:00
Sexta-feira, 13:00 a 15:00,13301 - EXPERIMENTAÇÃO FLORESTAL

Sexta-feira, 09:00 a 12:00,13308 - DENDROMETRIA I

Segunda-feira, 13:00 a 16:00,13309 - DENDROMETRIA II

Quinta-feira, 15:00 a 16:00
Sexta-feira, 15:00 a 18:00,11458 - MÁQUINAS E MECANIZAÇÃO FLORESTAL

Segunda-feira, 07:00 a 09:00
Quinta-feira, 10:00 a 12:00,01402 - METEOROLOGIA E CLIMATOLOGIA A

Quarta-feira, 15:00 a 18:00,11234 - AVALIAÇÕES E PERÍCIAS RURAIS S

Terça-feira, 13:00 a 15:00
Quinta-feira, 16:00 a 18:00,11240 - TOPOGRAFIA"
JVS::11,"Quarta-feira, 10:00 a 12:00
Sexta-feira, 07:00 a 09:00,13107 - MELHORAMENTO FLORESTAL

Terça-feira, 07:00 a 10:00,13124 - VIVEIROS FLORESTAIS

Segunda-feira, 07:00 a 10:00,13216 - PROTEÇÃO CONTRA INCÊNDIOS FLORESTAIS

Terça-feira, 13:00 a 15:00
Quarta-feira, 13:00 a 15:00,13217 - IMPLANTAÇÃO E CONDUÇÃO DE POVOAMENTOS FLORESTAIS

Terça-feira, 10:00 a 12:00
Quinta-feira, 10:00 a 12:00,13229 - HIDROGRAFIA E MANEJO AMBIENTAL DE BACIAS

Quinta-feira, 16:00 a 18:00
Sexta-feira, 16:00 a 18:00,13303 - INVENTÁRIO FLORESTAL

Quarta-feira, 15:00 a 16:00
Sexta-feira, 13:00 a 16:00,13330 - INDUSTRIALIZAÇÃO DE PRODUTOS FLORESTAIS

Segunda-feira, 10:00 a 12:00
Sexta-feira, 10:00 a 12:00,13331 - CONSTRUÇÕES EM MADEIRA

Quarta-feira, 07:00 a 10:00
Sexta-feira, 09:00 a 10:00,13332 - CARTOGRAFIA E GEOPROCESSAMENTO FLORESTAL

Segunda-feira, 15:00 a 18:00,13337 - TRABALHO DE CONCLUSÃO DE CURSO I - TCC I

Segunda-feira, 13:00 a 15:00
Terça-feira, 16:00 a 18:00,11210 - CONSTRUÇÕES RURAIS

Terça-feira, 15:00 a 16:00
Quinta-feira, 13:00 a 16:00,04103 - ECONOMIA FLORESTAL

Terça-feira, 18:30 a 21:50,05502 - ESTÁGIO SUPERVISIONADO OBRIGATÓRIO II - LIC. EM COMPUTAÇÃO"
JVS::12,"Segunda-feira, 07:00 a 10:00
Terça-feira, 09:00 a 10:00,04170 - ADMINISTRAÇÃO FLORESTAL

Sexta-feira, 13:00 a 16:00,02256 - CONSERVAÇÃO E MANEJO DE FAUNA

Segunda-feira, 16:00 a 18:00,06237 - ELEMENTOS DE INFORMÁTICA

Sábado, 08:00 a 12:00,28007 - ASPECTOSUMANOS E SOCIAIS NA COMPUTAÇÃO

Quinta-feira, 10:00 a 12:00
Sexta-feira, 07:00 a 09:00,13218 - DEFESA FLORESTAL S

Quinta-feira, 13:00 a 16:00,13219 - RECUPERAÇÃO DE ECOSSISTEMAS FLORESTAIS DEGRADADOS

Terça-feira, 13:00 a 15:00
Quarta-feira, 13:00 a 15:00,13220 - MANEJO DE UNIDADES DE CONSERVAÇÃO

Terça-feira, 16:00 a 18:00
Quinta-feira, 16:00 a 18:00,13304 - MANEJO FLORESTAL

Terça-feira, 10:00 a 12:00
Quinta-feira, 07:00 a 09:00,13339 - SILVICULTURA URBANA

Segunda-feira, 10:00 a 12:00
Quarta-feira, 10:00 a 12:00,13340 - COLHEITA E TRANSPORTE FLORESTAL

Quarta-feira, 20:10 a 21:50
Sexta-feira, 18:30 a 20:10,05268 - DIDÁTICA

Quinta-feira, 09:00 a 10:00
Sexta-feira, 09:00 a 12:00,05431 - COMUNICAÇÃO E EXTENSÃO RURAL S

Segunda-feira, 20:10 a 21:50
Quarta-feira, 18:30 a 20:10,06508 - CÁLCULO NII"
JVS::13,"Terça-feira, 08:00 a 12:00,04203 - FUNDAMENTOS DE ESTRATÉGIA COMPETITIVA

Quarta-feira, 08:00 a 12:00,14356 - PROJETO DE SOLUÇÕES COMPLEXAS II

Segunda-feira, 13:00 a 16:00
Quarta-feira, 13:00 a 17:00,09489 - VIVÊNCIA EM AQUICULTURA II"
JVS::14,"Quarta-feira, 16:00 a 18:00
Sexta-feira, 14:00 a 16:00,14204 - MATEMÁTICA DISCRETA II

Quarta-feira, 10:00 a 12:00
Sexta-feira, 10:00 a 12:00,11202 - ESTATÍSTICA EXPERIMENTAL

Terça-feira, 07:00 a 10:00
Quinta-feira, 09:00 a 10:00,11325 - MATEMÁTICA COMPUTACIONAL

Terça-feira, 16:00 a 18:00
Quinta-feira, 13:00 a 15:00,11418 - ESTÁTICA PLANA

Segunda-feira, 07:00 a 09:00
Quinta-feira, 07:00 a 09:00,11419 - RESISTÊNCIA DOS MATERIAIS

Sexta-feira, 07:00 a 09:00,11911 - SISTEMAS DE PRODUÇÃO AGROPECUÁRIO

Segunda-feira, 13:00 a 15:00,04742 - LEGISLAÇÃO AMBIENTAL

Terça-feira, 13:00 a 16:00,05430 - COMUNICAÇÃO E EXTENSÃO RURAL

Segunda-feira, 15:00 a 16:00
Quinta-feira, 15:00 a 18:00,06257 - ESTATÍSTICA B

Terça-feira, 10:00 a 12:00
Quinta-feira, 10:00 a 12:00,01402 - METEOROLOGIA E CLIMATOLOGIA A

Terça-feira, 18:30 a 20:10
Sexta-feira, 20:10 a 21:50,06506 - ÁLGEBRA LINEAR NI

Quarta-feira, 07:00 a 10:00
Sexta-feira, 09:00 a 10:00,11241 - TOPOGRAFIA APLICADA A

Segunda-feira, 09:00 a 12:00,11472 - POLUIÇÃO AMBIENTAL A"
JVS::15,"Terça-feira, 20:10 a 21:50
Quinta-feira, 18:30 a 20:10,14074 - INTELIGÊNCIA ARTIFICIAL

Quarta-feira, 07:00 a 09:00
Sexta-feira, 07:00 a 09:00,11004 - HIDRÁULICA APLICADA A ENGENHARIA AGRÍCOLA E AMBIENTAL

Segunda-feira, 07:00 a 09:00
Terça-feira, 10:00 a 12:00,11111 - PROPRIEDADES FÍSICA E MECÂNICA DE MATERIAL BIOLÓGICO

Terça-feira, 16:00 a 18:00
Quarta-feira, 13:00 a 15:00,11259 - MECÂNICA DOS SOLOS

Quarta-feira, 16:00 a 18:00
Sexta-feira, 16:00 a 18:00,11323 - FENÔMENOS DOS TRANSPORTES

Segunda-feira, 13:00 a 16:00,11327 - SANEAMENTO AMBIENTAL

Segunda-feira, 16:00 a 18:00
Quinta-feira, 16:00 a 18:00,11411 - TERMODINÂMICA E TRANSFERÊNCIA DE CALOR

Quarta-feira, 10:00 a 12:00
Quinta-feira, 10:00 a 12:00,11912 - AUTOMAÇÃO E CONTROLE DE SISTEMAS AGRÍCOLAS

Segunda-feira, 09:00 a 12:00
Terça-feira, 09:00 a 10:00,01387 - SISTEMA SOLO-ÁGUA-PLANTA

Quarta-feira, 15:00 a 16:00
Sexta-feira, 13:00 a 16:00,11208 - MATERIAIS DE CONSTRUÇÃO

Quinta-feira, 13:00 a 16:00,11252 - INTERPRETAÇÃO DE IMAGENS

Terça-feira, 07:00 a 09:00
Quinta-feira, 09:00 a 10:00,11256 - GEOPROCESSAMENTO

Terça-feira, 13:00 a 16:00,11324 - HIDROLOGIA AMBIENTAL

Sexta-feira, 09:00 a 12:00,11328 - DRENAGEM DE SOLOS AGRÍCOLAS

Quarta-feira, 09:00 a 10:00
